"n","c"
0.0,102553798
2.0e7,103023212
4.0e7,967
6.0e7,271
8.0e7,134
1.0e8,94
1.2e8,50
1.4e8,40
1.6e8,35
1.8e8,19
2.0e8,14
2.2e8,14
2.4e8,17
2.6e8,17
2.8e8,11
3.0e8,7
3.2e8,4
3.4e8,9
3.6e8,4
3.8e8,4
4.0e8,5
4.2e8,4
4.4e8,4
4.6e8,1
4.8e8,3
5.0e8,2
5.2e8,0
5.4e8,1
5.6e8,1
5.8e8,1
6.0e8,2
6.2e8,0
6.4e8,0
6.6e8,1
6.8e8,0
7.0e8,0
7.2e8,1
7.4e8,0
7.6e8,1
7.8e8,1
8.0e8,1
8.2e8,0
8.4e8,0
8.6e8,1
8.8e8,0
9.0e8,0
9.2e8,0
9.4e8,0
9.6e8,0
9.8e8,0
1.0e9,0
1.02e9,0
1.04e9,1
