ngram,r,t
drug,0,3.2478
drug,5,3.6331
drug,10,3.8896
drug,15,4.2991
drug,20,5.02265
know,0,3.2612
know,5,3.6366
know,10,3.8352
know,15,4.120649
know,20,4.43525
war,0,3.85405
war,5,4.26295
war,10,4.6707
war,15,5.2349
war,20,5.50775
