"n","nnodes","pnodes","rate","delta"
800,1782,0.00873529,0.0269458,2402.0
1600,4184,0.0102549,0.0295947,2464.0
2400,6710,0.0109641,0.0308309,2700.5
3200,9585,0.0117463,0.0321945,2843.5
4000,12397,0.0121539,0.032905,2727.5
4800,15040,0.0122876,0.033138,2902.0
5600,18201,0.0127458,0.0339368,3248.0
6400,21536,0.0131961,0.0347217,3382.0
7200,24965,0.0135975,0.0354214,3493.5
8000,28523,0.0139819,0.0360914,3482.0
8800,31929,0.0142286,0.0365216,3403.0
9600,35329,0.0144318,0.0368757,3368.5
10400,38666,0.0145799,0.037134,3393.0
11200,42115,0.0147461,0.0374237,3354.0
12000,45374,0.0148281,0.0375666,3349.0
12800,48813,0.014955,0.0377877,3380.5
13600,52135,0.0150332,0.037924,3194.0
14400,55201,0.015033,0.0379237,3133.5
15200,58402,0.0150676,0.037984,3203.0
16000,61607,0.0150998,0.0380401,3218.0
16800,64838,0.0151349,0.0381014,3280.0
17600,68167,0.0151887,0.0381952,3277.0
18400,71392,0.0152157,0.0382422,3244.5
19200,74656,0.0152484,0.0382992,3238.0
20000,77868,0.0152682,0.0383338,3231.0
20800,81118,0.0152937,0.0383782,3262.0
21600,84392,0.0153217,0.038427,3233.5
22400,87585,0.0153335,0.0384476,3215.5
23200,90823,0.0153521,0.03848,3228.0
24000,94041,0.0153662,0.0385045,3299.0
24800,97421,0.015405,0.0385721,3560.0
25600,101161,0.0154965,0.0387317,3654.0
26400,104729,0.0155569,0.038837,3482.5
27200,108126,0.0155891,0.0388931,3448.5
28000,111626,0.0156339,0.0389712,3492.0
28800,115110,0.015674,0.0390411,3446.5
29600,118519,0.015702,0.03909,3417.0
30400,121944,0.0157307,0.0391399,3472.5
31200,125464,0.0157697,0.039208,3611.5
32000,129167,0.0158293,0.0393118,3680.0
32800,132824,0.0158804,0.039401,3613.5
33600,136394,0.015919,0.0394682,3553.5
34400,139931,0.015952,0.0395257,3525.0
35200,143444,0.0159808,0.039576,3491.0
36000,146913,0.0160036,0.0396156,3464.5
36800,150373,0.0160244,0.0396519,3456.5
37600,153826,0.0160436,0.0396854,3561.0
38400,157495,0.016084,0.0397559,3639.5
39200,161105,0.0161169,0.0398132,3485.5
40000,164466,0.0161241,0.0398257,3448.0
40800,168001,0.0161477,0.0398669,3645.0
41600,171756,0.0161912,0.0399426,3726.5
42400,175454,0.0162277,0.0400063,3708.5
