maxerror,ngram,minweight,r,ndtw,sdiff,enew
2,german,0.000000001,15,193931,0.35000,0.35000
2,german,0.000000001,20,193931,0.45000,0.35000
2,german,0.00000001,0,166029,0.50000,0.25000
2,german,0.00000001,5,166029,0.60000,0.20000
2,german,0.00000001,10,166029,0.55000,0.25000
2,german,0.00000001,15,166029,0.40000,0.30000
2,german,0.00000001,20,166029,0.50000,0.30000
2,german,0.0000001,0,145390,0.40000,0.30000
2,german,0.0000001,5,145390,0.50000,0.25000
2,german,0.0000001,10,145390,0.45000,0.30000
2,german,0.0000001,15,145390,0.30000,0.35000
2,german,0.0000001,20,145390,0.45000,0.30000
2,german,0.000001,0,108542,0.25000,0.40000
2,german,0.000001,5,108542,0.30000,0.35000
2,german,0.000001,10,108542,0.15000,0.45000
2,german,0.000001,15,108542,0.20000,0.40000
2,german,0.000001,20,108542,0.30000,0.35000
2,happi,0.0000000000001,0,373205,0.60000,0.20000
2,happi,0.0000000000001,5,373205,0.80000,0.10000
2,happi,0.0000000000001,10,373205,0.90000,0.05000
2,happi,0.0000000000001,15,373205,0.90000,0.05000
2,happi,0.0000000000001,20,373205,0.90000,0.05000
2,happi,0.000000000001,0,356879,0.70000,0.15000
2,happi,0.000000000001,5,356879,0.80000,0.10000
2,happi,0.000000000001,10,356879,0.90000,0.05000
2,happi,0.000000000001,15,356879,0.90000,0.05000
2,happi,0.000000000001,20,356879,0.90000,0.05000
2,happi,0.00000000001,0,333743,0.50000,0.25000
2,happi,0.00000000001,5,333743,0.70000,0.15000
2,happi,0.00000000001,10,333743,0.80000,0.10000
2,happi,0.00000000001,15,333743,0.80000,0.10000
2,happi,0.00000000001,20,333743,0.80000,0.10000
2,happi,0.0000000001,0,305875,0.40000,0.30000
2,happi,0.0000000001,5,305875,0.60000,0.20000
2,happi,0.0000000001,10,305875,0.70000,0.15000
2,happi,0.0000000001,15,305875,0.70000,0.15000
2,happi,0.0000000001,20,305875,0.70000,0.15000
2,happi,0.000000001,0,280071,0.45000,0.30000
2,happi,0.000000001,5,280071,0.70000,0.15000
2,happi,0.000000001,10,280071,0.80000,0.10000
2,happi,0.000000001,15,280071,0.80000,0.10000
2,happi,0.000000001,20,280071,0.80000,0.10000
2,happi,0.00000001,0,207465,0.40000,0.30000
2,happi,0.00000001,5,207465,0.50000,0.25000
2,happi,0.00000001,10,207465,0.60000,0.20000
2,happi,0.00000001,15,207465,0.60000,0.20000
2,happi,0.00000001,20,207465,0.60000,0.20000
2,happi,0.0000001,0,175472,0.40000,0.30000
2,happi,0.0000001,5,175472,0.30000,0.35000
2,happi,0.0000001,10,175472,0.35000,0.35000
2,happi,0.0000001,15,175472,0.35000,0.35000
2,happi,0.0000001,20,175472,0.35000,0.35000
2,happi,0.000001,0,132083,0.35000,0.35000
2,happi,0.000001,5,132083,0.30000,0.35000
2,happi,0.000001,10,132083,0.35000,0.35000
2,happi,0.000001,15,132083,0.35000,0.35000
2,happi,0.000001,20,132083,0.35000,0.35000
