"n","nnodes","pnodes","rate","delta"
800,4520,0.0221569,0.0503418,5261.0
1600,9781,0.023973,0.0535077,5214.0
2400,14948,0.0244248,0.0542952,5494.0
3200,20769,0.0254522,0.0560861,5756.5
4000,26461,0.0259422,0.0569402,5543.0
4800,31855,0.0260253,0.0570852,5835.5
5600,38132,0.0267031,0.0582666,6058.0
6400,43971,0.026943,0.0586848,5877.5
7200,49887,0.0271716,0.0590833,5972.0
8000,55915,0.0274093,0.0594977,5856.5
8800,61600,0.027451,0.0595703,5523.5
9600,66962,0.0273538,0.0594008,5440.5
10400,72481,0.0273307,0.0593606,5548.5
11200,78059,0.0273316,0.0593622,5446.0
12000,83373,0.0272461,0.0592131,5501.5
12800,89062,0.0272862,0.059283,5600.5
13600,94574,0.0272705,0.0592557,5439.0
14400,99940,0.0272168,0.0591621,5409.0
15200,105392,0.0271909,0.059117,5470.0
16000,110880,0.0271765,0.0590918,5489.0
16800,116370,0.0271639,0.0590698,5641.5
17600,122163,0.0272199,0.0591675,5723.0
18400,127816,0.0272413,0.0592047,5616.0
19200,133395,0.0272457,0.0592125,5534.5
20000,138885,0.0272324,0.0591892,5640.5
20800,144676,0.0272768,0.0592666,5782.5
21600,150450,0.0273148,0.059333,5777.5
22400,156231,0.0273514,0.0593967,5748.0
23200,161946,0.0273742,0.0594365,5556.5
24000,167344,0.0273438,0.0593835,5471.0
24800,172888,0.0273384,0.0593741,5644.5
25600,178633,0.0273641,0.0594189,5638.0
26400,184164,0.0273565,0.0594056,5467.0
27200,189567,0.0273309,0.059361,5475.5
28000,195115,0.027327,0.0593542,5527.0
28800,200621,0.0273177,0.0593379,5422.0
29600,205959,0.0272866,0.0592837,5329.5
30400,211280,0.0272549,0.0592285,5345.5
31200,216650,0.027231,0.0591869,5495.5
32000,222271,0.0272391,0.059201,5573.5
32800,227797,0.0272354,0.0591945,5530.5
33600,233332,0.027233,0.0591903,5504.0
34400,238805,0.0272236,0.0591739,5418.5
35200,244169,0.0272024,0.059137,5365.0
36000,249535,0.0271825,0.0591022,5363.5
36800,254896,0.0271628,0.059068,5273.0
37600,260081,0.0271257,0.0590033,5309.5
38400,265515,0.0271155,0.0589855,5388.0
39200,270857,0.0270965,0.0589525,5270.0
40000,276055,0.0270642,0.0588961,5284.5
40800,281426,0.0270498,0.058871,5247.5
41600,286550,0.0270126,0.0588062,5086.0
42400,291598,0.0269698,0.0587316,5156.0
43200,296862,0.0269483,0.058694,5205.0
44000,302008,0.0269169,0.0586394,5174.5
44800,307211,0.0268917,0.0585954,5192.0
45600,312392,0.0268655,0.0585497,5169.5
46400,317550,0.0268382,0.0585022,5183.5
47200,322759,0.0268161,0.0584637,5256.0
48000,328062,0.0268025,0.0584398,5242.5
48800,333244,0.0267795,0.0583998,5198.0
49600,338458,0.0267598,0.0583655,5175.0
50400,343594,0.0267347,0.0583217,5184.0
51200,348826,0.0267177,0.058292,5193.5
52000,353981,0.0266954,0.0582532,5134.5
52800,359095,0.0266708,0.0582102,5109.5
53600,364200,0.0266462,0.0581674,5047.0
54400,369189,0.026614,0.0581113,4940.5
55200,374081,0.0265758,0.0580447,4922.0
56000,379033,0.0265429,0.0579874,5011.5
56800,384104,0.0265192,0.0579461,5024.5
57600,389082,0.0264898,0.0578948,5202.0
58400,394508,0.0264913,0.0578974,5226.5
59200,399535,0.0264663,0.0578538,5110.0
60000,404728,0.0264528,0.0578303,5179.0
60800,409893,0.0264379,0.0578043,5150.0
61600,415028,0.0264214,0.0577757,5189.5
62400,420272,0.0264123,0.0577597,5172.0
63200,425372,0.0263944,0.0577285,5085.0
64000,430442,0.0263751,0.0576949,5075.0
64800,435522,0.0263569,0.0576632,5065.5
65600,440573,0.0263375,0.0576293,5032.5
66400,445587,0.0263163,0.0575923,4990.5
67200,450554,0.0262928,0.0575515,5048.5
68000,455684,0.0262794,0.057528,5060.0
68800,460674,0.0262582,0.0574911,4926.5
69600,465537,0.0262304,0.0574426,4941.5
70400,470557,0.026212,0.0574105,5027.0
71200,475591,0.0261947,0.0573804,5145.0
72000,480847,0.0261899,0.0573721,5253.5
72800,486098,0.026185,0.0573635,5116.5
73600,491080,0.0261658,0.0573301,5155.5
74400,496409,0.0261653,0.0573292,5218.5
75200,501517,0.0261534,0.0573084,5143.0
76000,506695,0.0261453,0.0572942,5089.5
76800,511696,0.0261283,0.0572646,5030.5
77600,516756,0.0261146,0.0572408,5127.0
78400,521950,0.0261079,0.0572292,5191.5
79200,527139,0.0261012,0.0572174,5195.5
80000,532341,0.0260951,0.0572069,5170.5
80800,537480,0.0260862,0.0571913,5149.5
81600,542640,0.0260784,0.0571777,5350.0
82400,548180,0.0260889,0.057196,5387.0
83200,553414,0.0260847,0.0571887,5256.5
84000,558693,0.0260828,0.0571853,5237.5
84800,563889,0.026077,0.0571752,5140.0
85600,568973,0.0260662,0.0571564,5083.5
86400,574056,0.0260556,0.0571379,5021.0
87200,579015,0.0260395,0.0571099,5050.0
88000,584156,0.0260319,0.0570966,5136.0
88800,589287,0.026024,0.0570828,5061.5
89600,594279,0.0260101,0.0570586,5089.5
90400,599466,0.0260049,0.0570496,5220.5
91200,604720,0.0260028,0.0570458,5160.5
92000,609787,0.0259926,0.0570282,5085.0
92800,614890,0.0259842,0.0570135,5081.5
93600,619950,0.0259741,0.0569959,5063.5
94400,625017,0.0259645,0.0569791,4970.5
95200,629891,0.0259471,0.0569487,4967.0
96000,634951,0.0259375,0.0569321,5068.0
96800,640027,0.0259288,0.0569169,4980.0
97600,644911,0.0259125,0.0568885,4872.5
98400,649772,0.0258956,0.056859,4940.0
99200,654791,0.0258852,0.0568408,4963.5
100000,659699,0.0258705,0.0568154,4943.5
100800,664678,0.0258589,0.0567951,5059.0
101600,669817,0.0258537,0.0567859,5082.0
102400,674842,0.0258441,0.0567693,4884.5
103200,679586,0.0258241,0.0567343,4784.0
104000,684410,0.0258073,0.0567051,4934.5
104800,689455,0.0257991,0.0566908,5119.0
105600,694648,0.0257965,0.0566863,5119.5
106400,699694,0.0257885,0.0566724,5043.0
107200,704734,0.0257804,0.0566583,5140.0
