ngram,r,t
drug,0,2.6251
drug,5,2.1977
drug,10,2.3087
drug,15,2.44315
drug,20,2.6609
know,0,1.986149
know,5,1.99555
know,10,1.97515
know,15,1.9887
know,20,2.030249
war,0,2.47575
war,5,2.12235
war,10,2.01555
war,15,2.0522
war,20,2.08705
