ngram,r,t
drug,0,2.2649
drug,5,2.2537
drug,10,2.2881
drug,15,2.33365
drug,20,2.45955
know,0,2.1726
know,5,2.2796
know,10,2.45169
know,15,2.47575
know,20,2.577649
war,0,2.3995
war,5,2.3517
war,10,2.42485
war,15,2.51895
war,20,2.68825
