"n","nnodes","pnodes","rates","delta"
471986,3951755,0.0328338,0.0689534,6261.0
472786,3958121,0.032831,0.0689486,6442.0
473586,3964639,0.0328295,0.068946,6317.0
474386,3970755,0.0328247,0.0689376,6187.5
475186,3977014,0.0328211,0.0689313,6349.0
475986,3983453,0.032819,0.0689277,6422.5
476786,3989859,0.0328166,0.0689235,6305.5
477586,3996064,0.0328126,0.0689165,6187.5
478386,4002234,0.0328083,0.068909,6126.0
479186,4008316,0.0328033,0.0689003,6172.0
479986,4014578,0.0327998,0.0688942,6306.5
480786,4020929,0.032797,0.0688893,6350.0
481586,4027278,0.0327942,0.0688845,6208.5
482386,4033346,0.0327892,0.0688757,6168.0
483186,4039614,0.0327858,0.0688697,6244.0
483986,4045834,0.032782,0.0688631,6205.0
484786,4052024,0.0327779,0.0688561,6254.0
485586,4058342,0.032775,0.0688509,6355.5
486386,4064735,0.0327726,0.0688468,6233.5
487186,4070809,0.0327677,0.0688382,6149.5
487986,4077034,0.032764,0.0688318,6155.5
488786,4083120,0.0327592,0.0688234,6067.5
489586,4089169,0.0327541,0.0688145,6000.5
490386,4095121,0.0327483,0.0688044,6134.5
491186,4101438,0.0327454,0.0687993,6149.0
491986,4107419,0.0327398,0.0687896,6115.0
492786,4113668,0.0327364,0.0687836,6158.5
493586,4119736,0.0327315,0.0687752,6094.5
494386,4125857,0.0327271,0.0687675,6246.5
495186,4132229,0.0327247,0.0687633,6217.5
495986,4138292,0.0327199,0.0687548,6106.0
496786,4144441,0.0327157,0.0687476,6055.0
497586,4150402,0.0327101,0.0687378,6073.5
498386,4156588,0.0327063,0.0687311,6092.0
499186,4162586,0.032701,0.0687219,6063.0
499986,4168714,0.0326967,0.0687145,6120.0
500786,4174826,0.0326923,0.0687069,6139.0
501586,4180992,0.0326884,0.0687,6233.0
502386,4187292,0.0326855,0.068695,6172.0
503186,4193336,0.0326807,0.0686865,6097.0
503986,4199486,0.0326766,0.0686795,6161.0
504786,4205658,0.0326728,0.0686728,6145.5
505586,4211777,0.0326686,0.0686654,6331.0
506386,4218320,0.0326676,0.0686638,6305.0
507186,4224387,0.032663,0.0686557,6218.5
507986,4230757,0.0326608,0.0686518,6357.0
508786,4237101,0.0326583,0.0686475,6261.0
509586,4243279,0.0326546,0.068641,6142.0
510386,4249385,0.0326503,0.0686336,6072.5
511186,4255424,0.0326455,0.0686253,6127.5
511986,4261640,0.0326421,0.0686193,6188.0
512786,4267800,0.0326383,0.0686127,6203.5
513586,4274047,0.0326352,0.0686072,6253.0
514386,4280306,0.0326321,0.0686019,6209.5
515186,4286466,0.0326284,0.0685953,6161.0
515986,4292628,0.0326246,0.0685888,6073.5
516786,4298613,0.0326195,0.0685799,6030.0
517586,4304688,0.0326151,0.0685723,6203.5
518386,4311020,0.0326127,0.068568,6265.5
519186,4317219,0.0326093,0.068562,6298.0
519986,4323616,0.0326073,0.0685587,6329.5
520786,4329878,0.0326044,0.0685536,6280.0
521586,4336176,0.0326017,0.0685489,6275.5
522386,4342429,0.0325988,0.0685437,6196.5
523186,4348569,0.0325949,0.0685371,6131.5
523986,4354692,0.032591,0.0685302,6289.0
524786,4361147,0.0325895,0.0685277,6289.0
525586,4367270,0.0325856,0.0685208,6246.5
526386,4373640,0.0325836,0.0685172,6202.0
527186,4379674,0.032579,0.0685093,6329.5
527986,4386299,0.0325788,0.068509,6359.0
528786,4392392,0.0325747,0.0685019,6121.5
529586,4398542,0.0325711,0.0684955,6100.0
530386,4404592,0.0325667,0.0684878,6148.5
531186,4410839,0.0325637,0.0684827,6167.5
531986,4416927,0.0325597,0.0684756,6152.5
532786,4423144,0.0325565,0.0684701,6281.0
533586,4429489,0.0325543,0.0684663,6186.5
534386,4435517,0.0325499,0.0684585,6047.0
535186,4441583,0.0325456,0.0684511,6077.0
535986,4447671,0.0325416,0.0684441,6125.0
536786,4453833,0.0325381,0.068438,6144.5
537586,4459960,0.0325344,0.0684316,6103.5
538386,4466040,0.0325303,0.0684245,6081.0
539186,4472122,0.0325263,0.0684175,6154.0
539986,4478348,0.0325233,0.0684123,6255.5
540786,4484633,0.0325208,0.0684078,6037.5
541586,4490423,0.0325147,0.0683972,6026.0
542386,4496685,0.032512,0.0683925,6287.0
543186,4502997,0.0325097,0.0683885,6231.0
543986,4509147,0.0325062,0.0683824,6201.5
544786,4515400,0.0325035,0.0683777,6285.5
545586,4521718,0.0325013,0.0683738,6215.5
546386,4527831,0.0324975,0.0683673,6078.5
547186,4533875,0.0324933,0.06836,6040.0
547986,4539911,0.0324891,0.0683526,6150.0
548786,4546175,0.0324865,0.0683481,6202.0
549586,4552315,0.032483,0.068342,6254.0
550386,4558683,0.0324812,0.0683388,6460.5
551186,4565236,0.0324807,0.0683379,6346.5
551986,4571376,0.0324772,0.0683319,6081.0
552786,4577398,0.0324729,0.0683244,6069.0
553586,4583514,0.0324693,0.0683181,6068.0
554386,4589534,0.0324651,0.0683107,6116.0
555186,4595746,0.0324622,0.0683056,6077.0
555986,4601688,0.0324574,0.0682972,6074.5
556786,4607895,0.0324544,0.0682922,6144.0
557586,4613976,0.0324506,0.0682855,6166.5
558386,4620228,0.0324481,0.068281,6246.5
559186,4626469,0.0324454,0.0682764,6126.0
559986,4632480,0.0324411,0.068269,6024.0
560786,4638517,0.0324371,0.0682619,6007.0
561586,4644494,0.0324326,0.0682541,6154.5
562386,4650826,0.0324306,0.0682507,6272.0
563186,4657038,0.0324278,0.0682458,5993.0
563986,4662812,0.032422,0.0682356,5889.0
564786,4668816,0.0324177,0.0682282,6076.5
565586,4674965,0.0324145,0.0682226,6166.5
566386,4681149,0.0324115,0.0682174,6088.5
567186,4687142,0.0324073,0.0682099,6045.0
567986,4693239,0.0324037,0.0682037,5984.5
568786,4699111,0.0323986,0.0681949,5978.0
569586,4705195,0.032395,0.0681886,6149.5
570386,4711410,0.0323923,0.0681839,6122.0
571186,4717439,0.0323883,0.0681769,6082.0
571986,4723574,0.0323851,0.0681713,6253.0
572786,4729945,0.0323835,0.0681685,6184.5
573586,4735943,0.0323793,0.0681612,6041.0
574386,4742027,0.0323758,0.068155,6091.0
575186,4748125,0.0323723,0.068149,6173.0
575986,4754373,0.0323699,0.0681448,6125.5
576786,4760376,0.0323658,0.0681377,6112.0
577586,4766597,0.0323632,0.0681331,6234.0
578386,4772844,0.0323608,0.0681289,6180.5
579186,4778958,0.0323575,0.0681232,6019.5
579986,4784883,0.0323529,0.0681152,5982.0
580786,4790922,0.0323491,0.0681086,6091.0
581586,4797065,0.0323461,0.0681033,6217.0
582386,4803356,0.032344,0.0680996,6266.0
583186,4809597,0.0323416,0.0680955,6232.0
583986,4815820,0.0323391,0.0680911,6231.5
584786,4822060,0.0323367,0.0680869,6280.0
585586,4828380,0.0323348,0.0680837,6228.5
586386,4834517,0.0323318,0.0680783,6139.5
587186,4840659,0.0323287,0.068073,6037.0
587986,4846591,0.0323243,0.0680653,5989.0
588786,4852637,0.0323207,0.068059,6176.5
589586,4858944,0.0323187,0.0680556,6278.5
590386,4865194,0.0323165,0.0680517,6149.0
591186,4871242,0.0323129,0.0680454,6045.5
591986,4877285,0.0323092,0.068039,5916.0
592786,4883074,0.0323039,0.0680298,5996.5
593586,4889278,0.0323014,0.0680253,6054.0
594386,4895182,0.0322968,0.0680174,5942.0
595186,4901162,0.0322928,0.0680105,5965.0
595986,4907112,0.0322886,0.0680031,6010.0
596786,4913182,0.0322852,0.0679972,6031.5
597586,4919175,0.0322813,0.0679904,6127.5
598386,4925437,0.0322792,0.0679867,6145.0
599186,4931465,0.0322756,0.0679804,6091.5
599986,4937620,0.0322728,0.0679755,6173.0
600786,4943811,0.0322702,0.067971,6081.5
601586,4949783,0.0322662,0.0679641,6015.0
602386,4955841,0.0322628,0.0679581,6142.5
603186,4962068,0.0322605,0.0679541,6064.0
603986,4967969,0.0322561,0.0679464,5977.0
604786,4974022,0.0322527,0.0679405,6045.0
605586,4980059,0.0322492,0.0679343,6205.0
606386,4986432,0.0322478,0.067932,6108.5
607186,4992276,0.0322431,0.0679237,5938.0
607986,4998308,0.0322396,0.0679176,5933.0
608786,5004142,0.0322348,0.0679093,5999.0
609586,5010306,0.0322321,0.0679047,6099.0
610386,5016340,0.0322287,0.0678986,6052.0
611186,5022410,0.0322254,0.0678929,6181.5
611986,5028703,0.0322236,0.0678898,6206.0
612786,5034822,0.0322207,0.0678847,6082.5
613586,5040868,0.0322173,0.0678789,6020.0
614386,5046862,0.0322137,0.0678724,6038.0
615186,5052944,0.0322105,0.067867,6052.0
615986,5058966,0.032207,0.0678609,5961.0
616786,5064866,0.0322028,0.0678535,5981.5
617586,5070929,0.0321996,0.0678479,6087.0
618386,5077040,0.0321967,0.0678428,6080.5
619186,5083090,0.0321934,0.0678371,5968.0
619986,5088976,0.0321891,0.0678296,6055.5
620786,5095201,0.0321869,0.0678258,6217.0
621586,5101410,0.0321847,0.0678219,6153.5
622386,5107508,0.0321817,0.0678167,6154.0
623186,5113718,0.0321795,0.0678128,6255.0
623986,5120018,0.0321778,0.0678099,6035.0
624786,5125788,0.0321728,0.0678013,5913.5
625586,5131845,0.0321696,0.0677957,6121.5
626386,5138031,0.0321673,0.0677916,6158.5
627186,5144162,0.0321646,0.0677869,6033.0
627986,5150097,0.0321607,0.0677801,6058.0
628786,5156278,0.0321583,0.067776,6062.0
629586,5162221,0.0321545,0.0677693,5927.5
630386,5168133,0.0321504,0.0677622,5956.5
631186,5174134,0.032147,0.0677562,6033.0
631986,5180199,0.0321439,0.0677509,6125.0
632786,5186384,0.0321416,0.0677468,5975.0
633586,5192149,0.0321367,0.0677383,5981.0
634386,5198346,0.0321345,0.0677344,6142.5
635186,5204434,0.0321316,0.0677294,6072.5
635986,5210491,0.0321285,0.0677241,6041.0
636786,5216516,0.0321253,0.0677184,5962.5
637586,5222416,0.0321213,0.0677114,5998.5
638386,5228513,0.0321185,0.0677065,6031.0
639186,5234478,0.0321149,0.0677002,5999.5
639986,5240512,0.0321117,0.0676947,6075.0
640786,5246628,0.032109,0.06769,6078.5
641586,5252669,0.0321059,0.0676846,6127.5
642386,5258883,0.0321039,0.067681,6126.0
643186,5264921,0.0321007,0.0676756,6116.5
643986,5271116,0.0320986,0.0676719,6143.0
644786,5277207,0.0320958,0.067667,6085.0
645586,5283286,0.032093,0.0676621,6071.5
646386,5289350,0.03209,0.0676569,6048.0
647186,5295382,0.0320869,0.0676515,6156.5
647986,5301663,0.0320853,0.0676487,6131.5
648786,5307645,0.0320819,0.0676428,6045.5
649586,5313754,0.0320793,0.0676382,6191.5
650386,5320028,0.0320777,0.0676354,6201.5
651186,5326157,0.0320752,0.067631,6108.5
651986,5332245,0.0320724,0.0676262,6131.5
652786,5338420,0.0320702,0.0676224,6159.5
653586,5344564,0.0320678,0.0676182,6140.5
654386,5350701,0.0320654,0.067614,6171.5
655186,5356907,0.0320634,0.0676105,6344.0
655986,5363389,0.032063,0.0676099,6216.5
656786,5369340,0.0320595,0.0676037,6091.5
657586,5375572,0.0320577,0.0676005,6148.5
658386,5381637,0.0320548,0.0675956,6032.0
659186,5387636,0.0320516,0.06759,6008.0
659986,5393653,0.0320485,0.0675846,6030.0
660786,5399696,0.0320456,0.0675795,5897.5
661586,5405448,0.0320409,0.0675714,5806.5
662386,5411309,0.0320369,0.0675644,5929.5
663186,5417307,0.0320338,0.0675588,6091.0
663986,5423491,0.0320317,0.0675552,6017.0
664786,5429341,0.0320277,0.0675482,6015.5
665586,5435522,0.0320256,0.0675446,6107.0
666386,5441555,0.0320226,0.0675394,6025.5
667186,5447573,0.0320196,0.0675342,6091.5
667986,5453738,0.0320174,0.0675304,6193.0
668786,5459959,0.0320156,0.0675272,6128.5
669586,5465995,0.0320127,0.0675222,6080.5
670386,5472120,0.0320104,0.0675181,6145.0
671186,5478285,0.0320082,0.0675143,6023.0
671986,5484166,0.0320044,0.0675077,5933.0
672786,5490151,0.0320013,0.0675022,6036.0
673586,5496238,0.0319987,0.0674977,6027.5
674386,5502206,0.0319954,0.0674921,5927.0
675186,5508092,0.0319917,0.0674856,5969.0
675986,5514144,0.031989,0.0674808,5980.0
676786,5520052,0.0319854,0.0674745,5953.5
677586,5526051,0.0319823,0.0674692,6071.5
678386,5532195,0.0319801,0.0674654,6035.0
679186,5538121,0.0319767,0.0674594,6097.0
679986,5544389,0.0319752,0.0674568,6136.5
680786,5550394,0.0319722,0.0674516,6100.0
681586,5556589,0.0319704,0.0674483,6082.5
682386,5562559,0.0319672,0.0674428,6004.5
683186,5568598,0.0319644,0.067438,6098.0
683986,5574755,0.0319623,0.0674343,6098.0
684786,5580794,0.0319596,0.0674295,6028.0
685586,5586811,0.0319567,0.0674245,6174.0
686386,5593142,0.0319556,0.0674226,6123.5
687186,5599058,0.0319522,0.0674166,5918.5
687986,5604979,0.0319488,0.0674107,6065.5
688786,5611189,0.031947,0.0674077,6120.0
689586,5617219,0.0319443,0.0674028,6114.5
690386,5623418,0.0319424,0.0673997,6104.0
691186,5629427,0.0319396,0.0673947,6080.0
691986,5635578,0.0319375,0.0673911,5950.5
692786,5641328,0.0319332,0.0673835,5786.0
693586,5647150,0.0319293,0.0673767,5913.5
694386,5653155,0.0319264,0.0673717,5947.0
695186,5659044,0.0319229,0.0673655,6100.0
695986,5665355,0.0319217,0.0673636,6284.5
696786,5671613,0.0319203,0.0673611,5968.5
697586,5677292,0.0319156,0.0673529,5898.5
698386,5683410,0.0319134,0.0673491,5959.5
699186,5689211,0.0319094,0.0673421,5964.5
699986,5695339,0.0319073,0.0673384,6065.0
700786,5701341,0.0319045,0.0673335,6032.0
701586,5707403,0.031902,0.0673291,5947.0
702386,5713235,0.0318982,0.0673225,6037.0
703186,5719477,0.0318967,0.06732,6114.5
703986,5725464,0.0318938,0.0673149,5999.0
704786,5731475,0.0318911,0.0673101,6003.5
705586,5737471,0.0318882,0.0673052,6092.0
706386,5743659,0.0318865,0.0673021,6107.5
707186,5749686,0.0318838,0.0672975,6064.0
707986,5755787,0.0318816,0.0672936,6119.0
708786,5761924,0.0318796,0.06729,6006.5
709586,5767800,0.0318761,0.067284,6034.0
710386,5773992,0.0318744,0.067281,6179.5
711186,5780159,0.0318725,0.0672778,5985.0
711986,5785962,0.0318687,0.0672711,5856.0
712786,5791871,0.0318654,0.0672654,6074.0
713586,5798110,0.031864,0.0672629,6249.0
714386,5804369,0.0318627,0.0672606,6235.5
715186,5810581,0.0318611,0.0672578,6116.5
715986,5816602,0.0318584,0.0672533,5942.5
716786,5822466,0.031855,0.0672472,5856.5
717586,5828315,0.0318514,0.067241,5939.5
718386,5834345,0.0318489,0.0672366,6140.0
719186,5840595,0.0318475,0.0672342,6184.0
719986,5846713,0.0318455,0.0672306,6099.5
720786,5852794,0.0318432,0.0672267,6134.5
721586,5858982,0.0318415,0.0672238,6164.5
722386,5865123,0.0318396,0.0672204,6127.0
723186,5871236,0.0318375,0.0672168,5953.5
723986,5877030,0.0318337,0.0672102,5886.5
724786,5883009,0.0318309,0.0672053,5973.0
725586,5888976,0.0318281,0.0672003,6110.0
726386,5895229,0.0318268,0.0671981,6201.0
727186,5901378,0.031825,0.0671949,6155.0
727986,5907539,0.0318232,0.0671918,5981.5
728786,5913341,0.0318195,0.0671853,5971.0
729586,5919481,0.0318176,0.067182,6169.5
730386,5925680,0.031816,0.0671793,6165.0
731186,5931811,0.0318141,0.0671759,6146.5
731986,5937973,0.0318123,0.0671728,6017.5
732786,5943846,0.031809,0.0671671,5908.0
733586,5949789,0.0318061,0.067162,6005.0
734386,5955856,0.0318038,0.0671581,6023.5
735186,5961836,0.0318011,0.0671533,6064.0
735986,5967984,0.0317993,0.0671502,6152.0
736786,5974140,0.0317976,0.0671471,6072.5
737586,5980129,0.0317949,0.0671425,6064.5
738386,5986269,0.0317931,0.0671393,5992.0
739186,5992113,0.0317897,0.0671334,5895.0
739986,5998059,0.0317868,0.0671284,5894.5
740786,6003902,0.0317834,0.0671225,5971.0
741586,6010001,0.0317814,0.0671189,6141.0
742386,6016184,0.0317798,0.0671162,6232.5
743186,6022466,0.0317787,0.0671143,6197.5
743986,6028579,0.0317768,0.0671109,6042.5
744786,6034551,0.0317741,0.0671062,6155.5
745586,6040890,0.0317733,0.0671049,6314.0
746386,6047179,0.0317723,0.0671031,6206.0
747186,6053302,0.0317705,0.0670999,6174.0
747986,6059527,0.0317691,0.0670975,6141.0
748786,6065584,0.0317669,0.0670937,6090.5
749586,6071708,0.031765,0.0670904,6038.0
750386,6077660,0.0317623,0.0670856,5990.0
751186,6083688,0.0317599,0.0670815,6093.0
751986,6089846,0.0317582,0.0670786,5988.0
752786,6095664,0.0317548,0.0670726,5980.5
753586,6101807,0.0317531,0.0670695,6101.5
754386,6107867,0.0317509,0.0670657,6011.0
755186,6113829,0.0317482,0.0670611,5916.0
755986,6119699,0.0317451,0.0670556,5856.0
756786,6125541,0.0317418,0.0670499,6032.0
757586,6131763,0.0317405,0.0670476,6100.5
758386,6137742,0.0317379,0.0670431,5846.0
759186,6143455,0.031734,0.0670363,5742.0
759986,6149226,0.0317303,0.0670299,5937.0
760786,6155329,0.0317284,0.0670266,5968.5
761586,6161163,0.0317251,0.0670209,5909.5
762386,6167148,0.0317226,0.0670165,5962.0
763186,6173087,0.0317199,0.0670117,5840.0
763986,6178828,0.0317162,0.0670052,6000.0
764786,6185087,0.0317151,0.0670033,6023.0
765586,6190874,0.0317116,0.0669972,5812.0
766386,6196711,0.0317083,0.0669916,5851.5
767186,6202577,0.0317053,0.0669862,5872.5
767986,6208456,0.0317023,0.066981,5871.0
768786,6214319,0.0316992,0.0669756,5959.0
769586,6220374,0.0316971,0.0669719,6032.0
770386,6226383,0.0316947,0.0669679,5921.0
771186,6232216,0.0316915,0.0669623,6016.0
771986,6238415,0.0316902,0.0669599,6054.0
772786,6244324,0.0316874,0.066955,5965.5
773586,6250346,0.0316851,0.0669511,6012.5
774386,6256349,0.0316828,0.066947,6107.5
775186,6262561,0.0316815,0.0669448,6122.5
775986,6268594,0.0316793,0.066941,6176.5
776786,6274914,0.0316786,0.0669398,6183.5
777586,6280961,0.0316765,0.0669361,6090.5
778386,6287095,0.0316749,0.0669332,6123.0
779186,6293207,0.0316731,0.0669302,6046.5
779986,6299188,0.0316707,0.066926,6014.0
780786,6305235,0.0316686,0.0669223,6007.5
781586,6311203,0.0316661,0.066918,6035.0
782386,6317305,0.0316644,0.0669149,6067.0
783186,6323337,0.0316622,0.0669112,5953.0
783986,6329211,0.0316593,0.0669061,5949.5
784786,6335236,0.0316571,0.0669023,5974.5
785586,6341160,0.0316545,0.0668977,6126.0
786386,6347488,0.0316538,0.0668965,6219.5
787186,6353599,0.0316521,0.0668935,6012.0
787986,6359512,0.0316494,0.0668888,5838.0
788786,6365275,0.0316459,0.0668828,5958.0
789586,6371428,0.0316444,0.0668802,6014.0
790386,6377303,0.0316415,0.0668751,5774.5
791186,6382977,0.0316377,0.0668684,5927.0
791986,6389157,0.0316363,0.066866,6083.0
792786,6395143,0.031634,0.066862,5936.0
793586,6401029,0.0316312,0.0668571,6031.0
794386,6407205,0.0316298,0.0668547,5979.0
795186,6412987,0.0316265,0.066849,5789.5
795986,6418784,0.0316233,0.0668433,5803.5
796786,6424594,0.0316201,0.0668378,5832.5
797586,6430449,0.0316172,0.0668327,5907.0
798386,6436408,0.0316148,0.0668285,5979.5
799186,6442408,0.0316126,0.0668247,6007.5
799986,6448423,0.0316105,0.066821,5948.5
800786,6454305,0.0316077,0.0668161,5966.5
801586,6460356,0.0316058,0.0668128,6041.0
802386,6466387,0.0316037,0.0668092,5563.5
803042,6471483,0.0316028,0.0668076,5096.0
