"n","nnodes","pnodes","rates","delta"
112000,1032873,0.036165,0.0747603,6666.0
112800,1039573,0.0361415,0.0747192,6741.0
113600,1046355,0.0361211,0.0746837,6818.0
114400,1053209,0.0361034,0.0746529,6824.0
115200,1060003,0.036084,0.074619,6909.5
116000,1067028,0.0360726,0.0745992,6938.5
116800,1073880,0.0360556,0.0745696,6874.5
117600,1080777,0.0360403,0.0745429,7015.5
118400,1087911,0.0360331,0.0745303,6844.5
119200,1094466,0.0360069,0.0744847,6680.5
120000,1101272,0.0359893,0.074454,6839.0
120800,1108144,0.035974,0.0744274,6982.5
121600,1115237,0.0359661,0.0744136,7034.5
122400,1122213,0.0359545,0.0743934,6910.5
123200,1129058,0.0359389,0.0743662,6781.0
124000,1135775,0.0359195,0.0743324,6758.0
124800,1142574,0.0359029,0.0743034,6717.5
125600,1149210,0.0358814,0.0742659,6695.5
126400,1155965,0.0358639,0.0742354,6755.5
127200,1162721,0.0358466,0.0742053,6730.0
128000,1169425,0.035828,0.0741728,6870.0
128800,1176461,0.0358197,0.0741583,6824.5
129600,1183074,0.0357987,0.0741217,6626.0
130400,1189713,0.0357787,0.0740869,6667.5
131200,1196409,0.0357607,0.0740555,6744.0
132000,1203201,0.0357457,0.0740294,6724.0
132800,1209857,0.0357269,0.0739967,6941.0
133600,1217083,0.0357251,0.0739935,7087.5
134400,1224032,0.0357152,0.0739762,6955.0
135200,1230993,0.0357058,0.0739598,6872.0
136000,1237776,0.0356913,0.0739346,6826.5
136800,1244646,0.0356796,0.0739141,6926.0
137600,1251628,0.0356711,0.0738994,6946.5
138400,1258539,0.0356607,0.0738813,6749.0
139200,1265126,0.0356414,0.0738475,6703.0
140000,1271945,0.0356287,0.0738254,6916.5
140800,1278959,0.0356216,0.0738131,6860.0
141600,1285665,0.0356061,0.073786,6831.5
142400,1292622,0.0355977,0.0737713,6834.0
143200,1299333,0.0355826,0.073745,6753.0
144000,1306128,0.0355699,0.073723,6728.5
144800,1312790,0.0355538,0.0736949,6699.0
145600,1319526,0.0355399,0.0736707,6784.5
146400,1326359,0.0355287,0.0736512,6766.0
147200,1333058,0.0355141,0.0736257,6891.0
148000,1340141,0.0355098,0.0736182,6984.0
148800,1347026,0.0355004,0.0736017,6752.0
149600,1353645,0.035484,0.0735732,6710.5
150400,1360447,0.0354726,0.0735534,6733.0
151200,1367111,0.0354578,0.0735275,6652.0
152000,1373751,0.0354425,0.0735008,6720.5
152800,1380552,0.0354315,0.0734816,7099.0
153600,1387949,0.0354358,0.0734891,7141.5
154400,1394835,0.0354271,0.073474,6706.5
