"n","nnodes","pnodes","rate","delta"
800,28890,0.141618,0.258582,23192.0
1600,52082,0.127652,0.234237,22357.5
2400,73605,0.12027,0.221368,21292.5
3200,94667,0.116013,0.213949,21066.0
4000,115737,0.113468,0.209511,20607.0
4800,135881,0.111014,0.205234,20088.5
5600,155914,0.109183,0.202043,19920.0
6400,175721,0.107672,0.199409,19707.5
7200,195329,0.106388,0.197171,19909.5
8000,215540,0.105657,0.195896,19885.0
8800,235099,0.104768,0.194346,18832.0
9600,253204,0.103433,0.192019,18746.5
10400,272592,0.102787,0.190894,18980.0
11200,291164,0.101948,0.189431,18366.0
12000,309324,0.101086,0.187929,18585.5
12800,328335,0.100593,0.187069,18845.5
13600,347015,0.100062,0.186143,18369.5
14400,365074,0.099421,0.185026,18347.0
15200,383709,0.0989961,0.184285,18146.5
16000,401367,0.0983743,0.183201,17886.5
16800,419482,0.0979183,0.182406,18413.5
17600,438194,0.0976368,0.181916,18326.0
18400,456134,0.0972153,0.181181,18401.0
19200,474996,0.0970172,0.180836,18525.0
20000,493184,0.0967027,0.180287,18331.5
20800,511659,0.0964666,0.179876,18557.5
21600,530299,0.096278,0.179547,18202.5
22400,548064,0.0959496,0.178975,17860.5
23200,566020,0.0956761,0.178498,17727.0
24000,583518,0.0953461,0.177923,17889.0
24800,601798,0.095161,0.1776,18479.0
25600,620476,0.0950484,0.177404,18626.0
26400,639050,0.0949272,0.177192,18216.5
27200,656909,0.0947101,0.176814,17805.0
28000,674660,0.0944902,0.176431,17559.0
28800,692027,0.0942303,0.175978,17354.5
29600,709369,0.0939811,0.175543,17092.0
30400,726211,0.0936805,0.175019,17136.0
31200,743641,0.0934692,0.174651,17694.5
32000,761600,0.0933333,0.174414,17837.0
32800,779315,0.0931749,0.174138,17655.0
33600,796910,0.09301,0.173851,17612.5
34400,814540,0.0928568,0.173583,17621.5
35200,832153,0.0927087,0.173325,17630.5
36000,849801,0.0925709,0.173085,17535.0
36800,867223,0.0924151,0.172813,17180.0
37600,884161,0.0922154,0.172465,17341.5
38400,901906,0.0921064,0.172275,17799.5
39200,919760,0.0920128,0.172112,17602.0
40000,937110,0.0918735,0.171869,17596.5
40800,954953,0.0917871,0.171719,17416.0
41600,971942,0.0916235,0.171434,16813.0
42400,988579,0.0914335,0.171102,16955.0
43200,1005852,0.0913083,0.170884,17008.0
44000,1022595,0.0911404,0.170591,16955.0
44800,1039762,0.0910156,0.170374,17229.5
45600,1057054,0.0909059,0.170183,17052.0
46400,1073866,0.0907595,0.169927,16901.0
47200,1090856,0.0906328,0.169707,17331.5
48000,1108529,0.0905661,0.16959,17430.0
48800,1125716,0.0904626,0.16941,17272.5
49600,1143074,0.0903759,0.169259,17103.0
50400,1159922,0.0902523,0.169043,16940.0
51200,1176954,0.0901466,0.168859,17124.0
52000,1194170,0.0900581,0.168705,16994.0
52800,1210942,0.0899392,0.168498,16697.5
53600,1227565,0.0898131,0.168278,16891.0
54400,1244724,0.0897292,0.168132,16798.0
55200,1261161,0.0895965,0.1679,16584.5
56000,1277893,0.0894883,0.167712,16395.5
56800,1293952,0.0893366,0.167447,16413.0
57600,1310719,0.0892374,0.167274,16809.0
58400,1327570,0.0891465,0.167116,16622.5
59200,1343964,0.0890278,0.166909,16566.0
60000,1360702,0.0889348,0.166747,16744.5
60800,1377453,0.088845,0.16659,16732.5
61600,1394167,0.0887552,0.166434,17058.0
62400,1411569,0.088711,0.166357,17190.5
63200,1428548,0.0886416,0.166236,16732.0
64000,1445033,0.0885437,0.166065,16590.0
64800,1461728,0.0884609,0.165921,16670.0
65600,1478373,0.0883772,0.165775,16770.0
66400,1495268,0.0883102,0.165658,16678.0
67200,1511729,0.0882195,0.1655,16683.0
68000,1528634,0.0881565,0.16539,16972.0
68800,1545673,0.0881027,0.165296,16573.5
69600,1561781,0.0879976,0.165113,16554.5
70400,1578782,0.0879446,0.165021,16814.0
71200,1595409,0.0878723,0.164895,17147.0
72000,1613076,0.0878582,0.16487,17510.0
72800,1630429,0.0878275,0.164816,16694.0
73600,1646464,0.0877272,0.164642,16801.0
74400,1664031,0.0877098,0.164611,17286.5
75200,1681037,0.0876636,0.164531,17163.5
76000,1698358,0.0876346,0.16448,16769.5
76800,1714576,0.0875498,0.164332,16315.0
77600,1730988,0.0874767,0.164205,16374.0
78400,1747324,0.0874012,0.164073,16461.5
79200,1763911,0.0873396,0.163966,16579.5
80000,1780483,0.0872786,0.16386,16638.0
80800,1797187,0.0872252,0.163766,16557.5
81600,1813598,0.0871587,0.163651,17052.5
82400,1831292,0.0871546,0.163643,17396.0
83200,1848390,0.0871225,0.163587,17012.0
84000,1865316,0.0870829,0.163519,16750.5
84800,1881891,0.0870279,0.163423,16359.0
85600,1898034,0.0869541,0.163294,16250.0
86400,1914391,0.0868914,0.163185,16225.0
87200,1930484,0.086818,0.163057,16310.0
88000,1947011,0.0867652,0.162965,16497.5
88800,1963479,0.0867108,0.16287,16291.5
89600,1979594,0.0866419,0.16275,16208.0
90400,1995895,0.0865823,0.162646,16659.0
91200,2012912,0.0865545,0.162597,16966.0
92000,2029827,0.0865229,0.162542,16570.5
92800,2046053,0.0864627,0.162437,16674.0
93600,2063175,0.0864411,0.1624,16864.0
94400,2079781,0.0863983,0.162325,16414.0
95200,2096003,0.0863405,0.162224,16474.5
96000,2112730,0.0863043,0.162161,16673.0
96800,2129349,0.0862643,0.162092,16360.5
97600,2145451,0.0862042,0.161987,16033.0
98400,2161415,0.0861396,0.161874,16111.5
99200,2177674,0.0860877,0.161784,16130.5
100000,2193676,0.0860265,0.161677,16014.0
100800,2209702,0.0859672,0.161574,16333.5
101600,2226343,0.0859326,0.161513,16613.5
102400,2242929,0.0858965,0.16145,15811.0
103200,2257965,0.085802,0.161286,15568.5
104000,2274066,0.0857491,0.161193,15952.5
104800,2289870,0.0856859,0.161083,16048.5
105600,2306163,0.0856418,0.161006,16222.0
106400,2322314,0.0855932,0.160922,16245.5
107200,2338654,0.0855522,0.16085,16584.5
108000,2355483,0.0855295,0.160811,16288.0
108800,2371230,0.0854682,0.160704,16113.0
109600,2387709,0.085434,0.160644,16461.0
110400,2404152,0.085399,0.160583,16254.0
111200,2420217,0.0853511,0.1605,15900.0
112000,2435952,0.0852924,0.160397,15802.5
112800,2451822,0.0852393,0.160305,15885.5
113600,2467723,0.0851879,0.160215,15855.5
114400,2483533,0.0851341,0.160122,15847.5
115200,2499418,0.0850837,0.160034,16114.0
116000,2515761,0.0850494,0.159974,16226.0
116800,2531870,0.0850077,0.159901,16155.0
117600,2548071,0.0849697,0.159835,16599.5
118400,2565069,0.0849586,0.159815,16268.5
119200,2580608,0.0848996,0.159713,15840.5
120000,2596750,0.0848611,0.159646,16199.5
120800,2613007,0.0848269,0.159586,16484.0
121600,2629718,0.0848077,0.159553,16685.0
122400,2646377,0.0847872,0.159517,16373.5
123200,2662465,0.0847487,0.15945,16046.5
124000,2678470,0.0847081,0.159379,16134.0
124800,2694733,0.0846761,0.159323,16011.5
125600,2710493,0.0846289,0.159241,15955.5
126400,2726644,0.0845943,0.159181,16001.0
127200,2742495,0.084551,0.159105,15901.5
128000,2758447,0.0845112,0.159036,16328.0
128800,2775151,0.0844949,0.159007,16190.5
129600,2790828,0.0844477,0.158925,15929.0
130400,2807009,0.0844162,0.15887,16121.5
131200,2823071,0.0843816,0.15881,16382.0
132000,2839773,0.0843664,0.158783,16316.0
132800,2855703,0.0843286,0.158717,16298.0
