ngram,r,t
drug,0,1.14585
drug,5,1.1868
drug,10,1.1853
drug,15,1.1906
drug,20,1.2005
know,0,1.19785
know,5,1.20655
know,10,1.21335
know,15,1.20195
know,20,1.2255
war,0,1.13465
war,5,1.14195
war,10,1.13605
war,15,1.13875
war,20,1.14725
