"n","nnodes","pnodes","rate","delta"
121600,1562981,0.0504057,0.0995842,9745.5
122400,1572681,0.0503871,0.0995517,9621.0
123200,1582223,0.0503636,0.0995108,9450.5
124000,1591582,0.0503347,0.0994603,9444.5
124800,1601112,0.0503115,0.0994199,9399.5
125600,1610381,0.0502804,0.0993658,9317.0
126400,1619746,0.0502527,0.0993175,9310.5
127200,1629002,0.050222,0.099264,9332.0
128000,1638410,0.0501964,0.0992193,9641.0
128800,1648284,0.0501852,0.0991999,9569.5
129600,1657549,0.0501558,0.0991485,9331.0
130400,1666946,0.0501307,0.0991048,9383.5
131200,1676316,0.0501051,0.0990601,9504.0
132000,1685954,0.0500878,0.0990299,9480.0
132800,1695276,0.0500613,0.0989838,9560.0
133600,1705074,0.0500491,0.0989626,9581.5
134400,1714439,0.0500245,0.0989196,9359.5
135200,1723793,0.0499998,0.0988766,9289.0
136000,1733017,0.0499717,0.0988275,9298.0
136800,1742389,0.0499481,0.0987865,9547.0
137600,1752111,0.0499348,0.0987632,9654.0
138400,1761697,0.0499177,0.0987336,9312.0
139200,1770735,0.0498855,0.0986773,9224.5
140000,1780146,0.049864,0.0986399,9540.0
140800,1789815,0.04985,0.0986155,9479.0
141600,1799104,0.0498256,0.098573,9405.0
142400,1808625,0.0498079,0.0985421,9405.5
143200,1817915,0.0497841,0.0985005,9298.5
144000,1827222,0.0497609,0.0984602,9302.5
144800,1836520,0.0497378,0.09842,9338.0
145600,1845898,0.0497171,0.0983839,9516.0
146400,1855552,0.0497041,0.0983611,9547.0
147200,1864992,0.0496854,0.0983286,9666.0
148000,1874884,0.049679,0.0983173,9740.0
148800,1884472,0.0496646,0.0982922,9457.0
149600,1893798,0.0496434,0.0982554,9401.0
150400,1903274,0.0496265,0.0982258,9399.5
151200,1912597,0.0496057,0.0981896,9354.5
152000,1921983,0.0495868,0.0981566,9414.0
152800,1931425,0.0495695,0.0981265,9648.0
153600,1941279,0.0495629,0.098115,9547.5
154400,1950520,0.0495408,0.0980765,9112.5
155200,1959504,0.0495124,0.098027,9382.5
156000,1969285,0.0495044,0.098013,9449.0
156800,1978402,0.0494798,0.0979702,9355.0
157600,1987995,0.0494674,0.0979485,9507.0
158400,1997416,0.0494508,0.0979196,9113.5
159200,2006222,0.0494192,0.0978645,9176.5
160000,2015769,0.0494061,0.0978417,9272.5
160800,2024767,0.0493797,0.0977957,9323.0
161600,2034415,0.0493694,0.0977777,9479.0
162400,2043725,0.049351,0.0977457,9197.0
163200,2052809,0.0493274,0.0977045,9409.0
164000,2062543,0.0493195,0.0976908,9460.5
164800,2071730,0.0492987,0.0976545,9443.0
165600,2081429,0.0492903,0.0976398,9478.0
166400,2090686,0.0492714,0.097607,9316.5
167200,2100062,0.0492556,0.0975794,9260.0
168000,2109206,0.0492345,0.0975426,9135.5
168800,2118333,0.0492132,0.0975054,9158.0
169600,2127522,0.0491935,0.0974712,9299.0
170400,2136931,0.0491791,0.097446,9262.5
171200,2146047,0.0491581,0.0974094,9167.0
172000,2155265,0.0491396,0.0973772,9316.5
172800,2164680,0.0491258,0.0973531,9254.0
173600,2173773,0.0491048,0.0973165,9105.5
174400,2182891,0.0490846,0.0972813,9027.0
175200,2191827,0.0490605,0.0972393,9364.5
176000,2201620,0.0490557,0.0972309,9564.0
176800,2210955,0.0490408,0.0972049,9404.5
177600,2220429,0.0490291,0.0971845,9353.0
178400,2229661,0.0490122,0.097155,9231.0
179200,2238891,0.0489953,0.0971257,9374.5
180000,2248410,0.048985,0.0971076,9515.0
180800,2257921,0.0489745,0.0970894,9527.5
181600,2267465,0.0489649,0.0970725,9522.0
182400,2276965,0.0489544,0.0970542,9429.0
183200,2286323,0.0489409,0.0970308,9328.5
184000,2295622,0.0489263,0.0970053,9388.5
184800,2305100,0.0489156,0.0969867,9393.0
185600,2314408,0.0489015,0.096962,9066.0
186400,2323232,0.0488772,0.0969198,8987.5
187200,2332383,0.04886,0.0968898,9255.5
188000,2341743,0.0488474,0.0968677,9207.5
188800,2350798,0.0488285,0.0968348,9268.0
189600,2360279,0.0488185,0.0968175,9320.5
190400,2369439,0.0488021,0.0967888,9270.5
191200,2378820,0.0487903,0.0967683,9435.0
192000,2388309,0.0487808,0.0967517,9327.5
192800,2397475,0.0487648,0.0967239,9137.5
193600,2406584,0.0487479,0.0966943,9303.5
194400,2416082,0.0487388,0.0966786,9383.5
195200,2425351,0.0487253,0.096655,9405.0
196000,2434892,0.0487173,0.096641,9280.5
196800,2443912,0.048699,0.0966091,9202.5
197600,2453297,0.0486881,0.0965901,9484.5
198400,2462881,0.0486812,0.0965781,9422.0
199200,2472141,0.048668,0.0965551,9159.5
200000,2481200,0.048651,0.0965254,9138.0
200800,2490417,0.0486372,0.0965013,9507.0
201600,2500214,0.0486347,0.0964971,9631.5
202400,2509680,0.0486259,0.0964817,9356.0
203200,2518926,0.0486129,0.096459,9015.5
204000,2527711,0.0485911,0.0964211,8987.0
204800,2536900,0.0485773,0.0963969,9280.5
205600,2546272,0.048567,0.096379,9161.0
206400,2555222,0.0485488,0.0963473,9222.5
207200,2564717,0.0485411,0.0963338,9517.5
208000,2574257,0.0485343,0.0963219,9484.5
