ngram,r,t
drug,0,1.3574
drug,5,1.9573
drug,10,2.68655
drug,15,3.01835
drug,20,3.52695
know,0,1.516249
know,5,2.0321
know,10,2.55145
know,15,3.0534
know,20,3.684
war,0,1.48085
war,5,2.03095
war,10,2.6136
war,15,3.22245
war,20,3.77315
