"x","y","ngram"
-0.05,1,"drug"
0.05,0,"drug"
0.15000000000000002,0,"drug"
0.25000000000000006,0,"drug"
0.35000000000000003,0,"drug"
0.45000000000000007,0,"drug"
0.55,93,"drug"
0.6500000000000001,2551,"drug"
0.75,2819,"drug"
0.8500000000000001,2536,"drug"
0.95,2532,"drug"
1.05,2806,"drug"
1.15,3677,"drug"
1.25,4950,"drug"
1.35,8086,"drug"
1.45,13628,"drug"
1.55,21970,"drug"
1.65,30922,"drug"
1.75,38877,"drug"
1.85,44282,"drug"
1.95,48031,"drug"
2.05,49074,"drug"
2.1500000000000004,48812,"drug"
2.25,47376,"drug"
2.35,45216,"drug"
2.45,43242,"drug"
2.55,40468,"drug"
2.6500000000000004,37414,"drug"
2.75,34099,"drug"
2.85,31018,"drug"
2.95,27807,"drug"
3.05,24688,"drug"
3.1500000000000004,21841,"drug"
3.25,19121,"drug"
3.35,16772,"drug"
3.45,14602,"drug"
3.55,12415,"drug"
3.6500000000000004,10688,"drug"
3.75,9043,"drug"
3.85,7541,"drug"
3.95,6423,"drug"
4.050000000000001,5241,"drug"
4.15,4364,"drug"
4.25,3539,"drug"
4.3500000000000005,2829,"drug"
4.450000000000001,2283,"drug"
4.550000000000001,1860,"drug"
4.65,1491,"drug"
4.750000000000001,1191,"drug"
4.8500000000000005,1005,"drug"
4.950000000000001,722,"drug"
5.050000000000001,625,"drug"
5.15,490,"drug"
5.250000000000001,407,"drug"
5.3500000000000005,318,"drug"
5.450000000000001,250,"drug"
5.550000000000001,192,"drug"
5.65,164,"drug"
5.750000000000001,135,"drug"
5.8500000000000005,93,"drug"
5.950000000000001,86,"drug"
6.050000000000001,67,"drug"
6.15,45,"drug"
6.250000000000001,40,"drug"
6.3500000000000005,33,"drug"
6.450000000000001,28,"drug"
6.550000000000001,26,"drug"
6.65,12,"drug"
6.750000000000001,23,"drug"
6.8500000000000005,10,"drug"
6.950000000000001,6,"drug"
7.050000000000001,14,"drug"
7.15,5,"drug"
7.250000000000001,4,"drug"
7.3500000000000005,7,"drug"
7.450000000000001,2,"drug"
7.550000000000001,3,"drug"
7.65,3,"drug"
7.750000000000001,1,"drug"
7.8500000000000005,0,"drug"
7.95,1,"drug"
8.05,1,"drug"
8.150000000000002,2,"drug"
8.25,0,"drug"
8.350000000000001,0,"drug"
8.45,0,"drug"
8.55,0,"drug"
8.650000000000002,0,"drug"
8.75,1,"drug"
8.850000000000001,0,"drug"
8.95,1,"drug"
9.05,0,"drug"
9.150000000000002,0,"drug"
9.25,0,"drug"
9.350000000000001,0,"drug"
9.450000000000001,1,"drug"
-0.05,1,"know"
0.05,58377,"know"
0.15000000000000002,589992,"know"
0.25000000000000006,147852,"know"
0.35000000000000003,6615,"know"
0.45000000000000007,198,"know"
0.55,7,"know"
0.6500000000000001,0,"know"
0.75,0,"know"
0.8500000000000001,0,"know"
0.95,0,"know"
1.05,0,"know"
1.15,0,"know"
1.25,0,"know"
1.35,0,"know"
1.45,0,"know"
1.55,0,"know"
1.65,0,"know"
1.75,0,"know"
1.85,0,"know"
1.95,0,"know"
2.05,0,"know"
2.1500000000000004,0,"know"
2.25,0,"know"
2.35,0,"know"
2.45,0,"know"
2.55,0,"know"
2.6500000000000004,0,"know"
2.75,0,"know"
2.85,0,"know"
2.95,0,"know"
3.05,0,"know"
3.1500000000000004,0,"know"
3.25,0,"know"
3.35,0,"know"
3.45,0,"know"
3.55,0,"know"
3.6500000000000004,0,"know"
3.75,0,"know"
3.85,0,"know"
3.95,0,"know"
4.050000000000001,0,"know"
4.15,0,"know"
4.25,0,"know"
4.3500000000000005,0,"know"
4.450000000000001,0,"know"
4.550000000000001,0,"know"
4.65,0,"know"
4.750000000000001,0,"know"
4.8500000000000005,0,"know"
4.950000000000001,0,"know"
5.050000000000001,0,"know"
5.15,0,"know"
5.250000000000001,0,"know"
5.3500000000000005,0,"know"
5.450000000000001,0,"know"
5.550000000000001,0,"know"
5.65,0,"know"
5.750000000000001,0,"know"
5.8500000000000005,0,"know"
5.950000000000001,0,"know"
6.050000000000001,0,"know"
6.15,0,"know"
6.250000000000001,0,"know"
6.3500000000000005,0,"know"
6.450000000000001,0,"know"
6.550000000000001,0,"know"
6.65,0,"know"
6.750000000000001,0,"know"
6.8500000000000005,0,"know"
6.950000000000001,0,"know"
7.050000000000001,0,"know"
7.15,0,"know"
7.250000000000001,0,"know"
7.3500000000000005,0,"know"
7.450000000000001,0,"know"
7.550000000000001,0,"know"
7.65,0,"know"
7.750000000000001,0,"know"
7.8500000000000005,0,"know"
7.95,0,"know"
8.05,0,"know"
8.150000000000002,0,"know"
8.25,0,"know"
8.350000000000001,0,"know"
8.45,0,"know"
8.55,0,"know"
8.650000000000002,0,"know"
8.75,0,"know"
8.850000000000001,0,"know"
8.95,0,"know"
9.05,0,"know"
9.150000000000002,0,"know"
9.25,0,"know"
9.350000000000001,0,"know"
9.450000000000001,0,"know"
-0.05,1,"war"
0.05,53218,"war"
0.15000000000000002,598188,"war"
0.25000000000000006,145175,"war"
0.35000000000000003,6266,"war"
0.45000000000000007,187,"war"
0.55,7,"war"
0.6500000000000001,0,"war"
0.75,0,"war"
0.8500000000000001,0,"war"
0.95,0,"war"
1.05,0,"war"
1.15,0,"war"
1.25,0,"war"
1.35,0,"war"
1.45,0,"war"
1.55,0,"war"
1.65,0,"war"
1.75,0,"war"
1.85,0,"war"
1.95,0,"war"
2.05,0,"war"
2.1500000000000004,0,"war"
2.25,0,"war"
2.35,0,"war"
2.45,0,"war"
2.55,0,"war"
2.6500000000000004,0,"war"
2.75,0,"war"
2.85,0,"war"
2.95,0,"war"
3.05,0,"war"
3.1500000000000004,0,"war"
3.25,0,"war"
3.35,0,"war"
3.45,0,"war"
3.55,0,"war"
3.6500000000000004,0,"war"
3.75,0,"war"
3.85,0,"war"
3.95,0,"war"
4.050000000000001,0,"war"
4.15,0,"war"
4.25,0,"war"
4.3500000000000005,0,"war"
4.450000000000001,0,"war"
4.550000000000001,0,"war"
4.65,0,"war"
4.750000000000001,0,"war"
4.8500000000000005,0,"war"
4.950000000000001,0,"war"
5.050000000000001,0,"war"
5.15,0,"war"
5.250000000000001,0,"war"
5.3500000000000005,0,"war"
5.450000000000001,0,"war"
5.550000000000001,0,"war"
5.65,0,"war"
5.750000000000001,0,"war"
5.8500000000000005,0,"war"
5.950000000000001,0,"war"
6.050000000000001,0,"war"
6.15,0,"war"
6.250000000000001,0,"war"
6.3500000000000005,0,"war"
6.450000000000001,0,"war"
6.550000000000001,0,"war"
6.65,0,"war"
6.750000000000001,0,"war"
6.8500000000000005,0,"war"
6.950000000000001,0,"war"
7.050000000000001,0,"war"
7.15,0,"war"
7.250000000000001,0,"war"
7.3500000000000005,0,"war"
7.450000000000001,0,"war"
7.550000000000001,0,"war"
7.65,0,"war"
7.750000000000001,0,"war"
7.8500000000000005,0,"war"
7.95,0,"war"
8.05,0,"war"
8.150000000000002,0,"war"
8.25,0,"war"
8.350000000000001,0,"war"
8.45,0,"war"
8.55,0,"war"
8.650000000000002,0,"war"
8.75,0,"war"
8.850000000000001,0,"war"
8.95,0,"war"
9.05,0,"war"
9.150000000000002,0,"war"
9.25,0,"war"
9.350000000000001,0,"war"
9.450000000000001,0,"war"
