"x","s0_mean","s0_std","s1_mean","s1_std","s2_mean","s2_std"
1.0,0.005636059652806737,0.003979127959918901,0.01364761348717098,0.009121926970217903,0.0343019146355243,0.020356671564624212
2.0,0.0049441723458342295,0.0036567734538360793,0.01183615359430678,0.008158809252062487,0.029370538695893407,0.017437358860345
3.0,0.00440147215553147,0.0035117122162739425,0.010554170430345226,0.007587216837789451,0.026042425954791427,0.01556832819600628
4.0,0.004134629799708084,0.0032484113591478214,0.009546877006130501,0.006875227683629647,0.02298812084283949,0.013841314381599806
5.0,0.004347429059273833,0.0031791261406277456,0.010152105040508412,0.006608860749372548,0.02457141937912889,0.013241135338518154
6.0,0.004101289752430883,0.0029382025660422153,0.009522812838849414,0.006087196721148482,0.022897908864085905,0.012238855655604555
7.0,0.004168966458617259,0.0028168260625812303,0.009891707199070121,0.005885962810363996,0.023921766383926995,0.012079588277745076
8.0,0.0041736061998920585,0.0027888504487018303,0.009891935648351733,0.005812327604076244,0.023685642953349458,0.011946982669800646
9.0,0.004399972007819528,0.0027532282773285958,0.010322887947797852,0.005784088430276897,0.02438561944771918,0.012110113686296367
10.0,0.004623936588009312,0.0027583734916688846,0.010937164137690669,0.005876744431980557,0.025584131373403634,0.012476494449296707
11.0,0.004627894655179209,0.002755760668440013,0.010782509248617844,0.005816897622301046,0.024708960237312737,0.01223387684488699
12.0,0.0047275649819059845,0.002762127977287323,0.011011872060675275,0.005862832875365035,0.024796695035912943,0.012286297094200238
13.0,0.005020452248613927,0.0028458334611367506,0.011729070583860659,0.006113579875967461,0.02598859230836114,0.012789079898543158
14.0,0.00520259590434353,0.002914042891954304,0.012125234966230783,0.00629209800969934,0.026321896844429815,0.013001202207443833
15.0,0.005307315300174637,0.0029065007383672695,0.012244872606216919,0.0062780293752591945,0.025956016970506153,0.012906125874840347
16.0,0.0056082703081026765,0.0030467174998392065,0.012778637312886736,0.006537536482789808,0.026349390657499583,0.013202585027316707
17.0,0.00564677150004763,0.0030291571572951767,0.012842958732138142,0.006560095628984203,0.02583198483440688,0.013063985816404975
18.0,0.006161963651224028,0.0032528067235608454,0.013858570720102619,0.0070329673124162086,0.026996737948938462,0.013670735965868869
19.0,0.0063204659848945235,0.003328695505843532,0.014286846517037285,0.007224176292576868,0.02714292346580929,0.013722631390348267
20.0,0.0063703729165906515,0.003335498515620646,0.014068126465480252,0.007151233015352238,0.025719672999097838,0.013212802702380748
21.0,0.006627139564217661,0.0034602821322736906,0.014473056626134139,0.007327250634602791,0.025514392865958743,0.01305689618563947
22.0,0.00684385510736538,0.0035620898272630324,0.014811935636613389,0.007506420451501493,0.025189140587902326,0.012963525238440392
23.0,0.006949274502662156,0.00361610111157859,0.014855802503544064,0.007581614707984864,0.024317467782377988,0.012713330087500896
24.0,0.007176380027480744,0.0037175664858754252,0.015138292062522636,0.007702672136104714,0.023774654096577766,0.012415045488464138
25.0,0.007412305474876183,0.0038301704841270717,0.01540134258965152,0.007840920199606232,0.023154671900490063,0.012142404167084066
26.0,0.0076124959857515875,0.003932871895625541,0.01561876000189709,0.007955873747037066,0.022453718340067205,0.011805710301126301
27.0,0.007843004804982878,0.004053410639873128,0.015954586944495634,0.008139631802221783,0.021962285447249492,0.01159978399137404
28.0,0.008180190025547651,0.004238399340225204,0.016309071351223645,0.008351517072265181,0.021333009377553173,0.01132425707068614
29.0,0.008198787644144674,0.004224829726267394,0.01610682196541812,0.008218411080040256,0.020059975179098126,0.01066203234196758
30.0,0.008389366710223499,0.00431583883256872,0.016195431380979407,0.008254887591235646,0.019141203240302895,0.010183185524493142
31.0,0.008470110620173017,0.004361863191050172,0.016074098471717882,0.008220832462123661,0.018004030626129413,0.00965267847234781
32.0,0.00878605824916137,0.004522586100844428,0.016280042830384128,0.008317512070432563,0.017193983488780564,0.009212959148015025
33.0,0.008942638294161512,0.004594647008411204,0.01631992468885016,0.008344922376297408,0.016314738089579072,0.008764095157376597
34.0,0.008942077759014552,0.004607756120276883,0.01597464562278874,0.008222553149921256,0.015034543295059141,0.008173560623371132
35.0,0.009258145826004163,0.00476912464472237,0.016285395918615893,0.00834480317204599,0.014441267799374491,0.007791658352476465
36.0,0.009348772638630036,0.004794481289289304,0.016028377916348487,0.008193665469519263,0.013318555817499491,0.00720194510534914
37.0,0.009631652588258332,0.004947058377569433,0.016135300322102294,0.008270393197825136,0.012536738675153387,0.006813796659049148
38.0,0.009641031933237652,0.004943992630549195,0.015836342795959003,0.008137172146969468,0.01154801450532173,0.006305220266788095
39.0,0.009739360520289501,0.005007934453117197,0.01564812014371799,0.00807395874520152,0.010654237113853398,0.005857054665826385
40.0,0.009869799342671386,0.005082638331086961,0.01550588945410089,0.008026496291758086,0.009836408256557386,0.005434789107091522
41.0,0.010071098201982424,0.005174755818548766,0.015438867223779875,0.007981112562221693,0.009124702046356835,0.005038122062403975
42.0,0.010220949828720335,0.005243220986241114,0.015301928559896927,0.007893827455904943,0.00839618650088908,0.004629427165923839
43.0,0.010547672273016498,0.0054035937720415895,0.015380522955819586,0.007908663598787636,0.007837714253674539,0.004297469653964966
