"x","y","label"
1753,0.0005147820170407423,"war"
1754,0.0004982600807646066,"war"
1755,0.0004695557546057168,"war"
1756,0.0005627060911058675,"war"
1757,0.000484897791490057,"war"
1758,0.0006890052598756243,"war"
1759,0.0006002888321386779,"war"
1760,0.0007330963273943858,"war"
1761,0.0008709610916663385,"war"
1762,0.0007115793894343922,"war"
1763,0.0006323867245568787,"war"
1764,0.0006436331772281099,"war"
1765,0.0003250556433405245,"war"
1766,0.00035332577451847863,"war"
1767,0.00037352871758560886,"war"
1768,0.0005744811153683162,"war"
1769,0.0005062535899476088,"war"
1770,0.0005363452574808384,"war"
1771,0.0007595879972328209,"war"
1772,0.0004020525772126172,"war"
1773,0.0004940293039126458,"war"
1774,0.0004316602980362738,"war"
1775,0.00040331596876988724,"war"
1776,0.00042318282783167455,"war"
1777,0.0004685813191817873,"war"
1778,0.0005752375360072854,"war"
1779,0.000914516603878401,"war"
1780,0.0005100354815501604,"war"
1781,0.0004803971343662365,"war"
1782,0.0005116243482523724,"war"
1783,0.0004912782855346342,"war"
1784,0.0003664834536943026,"war"
1785,0.000507246836149488,"war"
1786,0.0004806602874897644,"war"
1787,0.0005707419218282991,"war"
1788,0.0005166464253588107,"war"
1789,0.0005593412923558001,"war"
1790,0.00047763123733516,"war"
1791,0.0003408588310999696,"war"
1792,0.0004175711441280551,"war"
1793,0.0004969277596567291,"war"
1794,0.0004235417281002644,"war"
1795,0.0005217677740671308,"war"
1796,0.00044143079260586265,"war"
1797,0.000554108866955078,"war"
1798,0.0004754135870528945,"war"
1799,0.0003364025221764575,"war"
1800,0.0004259642419327223,"war"
1801,0.00044822031438187046,"war"
1802,0.0006027190130864146,"war"
1803,0.0004372306616382172,"war"
1804,0.0005259635471854685,"war"
1805,0.0005375843657827283,"war"
1806,0.0004849593942615653,"war"
1807,0.0004669533363985846,"war"
1808,0.0004730076787592136,"war"
1809,0.00043177044860058983,"war"
1810,0.00044556396740357956,"war"
1811,0.00041034741057969533,"war"
1812,0.0004543824006764406,"war"
1813,0.0004167420609599966,"war"
1814,0.0006027032901382402,"war"
1815,0.0005063279078970226,"war"
1816,0.00039741146894527884,"war"
1817,0.000522025026031617,"war"
1818,0.0005114073818197503,"war"
1819,0.00038947907149899214,"war"
1820,0.0004337816804613838,"war"
1821,0.000386566797133294,"war"
1822,0.00039864497402578215,"war"
1823,0.0004487883884227884,"war"
1824,0.0003311691517208313,"war"
1825,0.0003776001323735092,"war"
1826,0.0004278372749117081,"war"
1827,0.00042479408307908277,"war"
1828,0.000430640255105692,"war"
1829,0.0004639104652720049,"war"
1830,0.0003328577897478241,"war"
1831,0.00034024248962553867,"war"
1832,0.0003735440424321519,"war"
1833,0.0003514074071902178,"war"
1834,0.00036422411608102187,"war"
1835,0.0003901901835061524,"war"
1836,0.0004411328383084871,"war"
1837,0.00039313770761821413,"war"
1838,0.0003688805385818698,"war"
1839,0.0003773559750984791,"war"
1840,0.0003926223029113355,"war"
1841,0.0003899165443503156,"war"
1842,0.00034868046520586724,"war"
1843,0.0003467936524714596,"war"
1844,0.000405521611628562,"war"
1845,0.00041359293320981753,"war"
1846,0.0004237722929270275,"war"
1847,0.00044132115473941925,"war"
1848,0.00038629313054680715,"war"
1849,0.00041072152847559983,"war"
1850,0.00040668631017802954,"war"
1851,0.0004035639422480782,"war"
1852,0.00041550642573975297,"war"
1853,0.00040656148550903765,"war"
1854,0.00044303047410870555,"war"
1855,0.00042633399112521433,"war"
1856,0.00045143508174167845,"war"
1857,0.0004416855918160615,"war"
1858,0.00042305978533381284,"war"
1859,0.0003948074305181511,"war"
1860,0.0003945882921087465,"war"
1861,0.0004329097486782778,"war"
1862,0.00044770369714962414,"war"
1863,0.0004776272252296731,"war"
1864,0.0004971231918317155,"war"
1865,0.0004437496578853019,"war"
1866,0.0005236301621279365,"war"
1867,0.00041082000307501756,"war"
1868,0.00043117603634955246,"war"
1869,0.000390987686084862,"war"
1870,0.0003928772739163463,"war"
1871,0.00043414633158423717,"war"
1872,0.000360550483553923,"war"
1873,0.0003430451092935647,"war"
1874,0.0003764521715379522,"war"
1875,0.0004036690697926045,"war"
1876,0.00038075471009865736,"war"
1877,0.00043530669616160525,"war"
1878,0.00040604980363341325,"war"
1879,0.00041665548741657324,"war"
1880,0.00044643456395711506,"war"
1881,0.0004034340770798414,"war"
1882,0.00041605635093296817,"war"
1883,0.00037354689496113254,"war"
1884,0.00041555139359971614,"war"
1885,0.0004132942025363974,"war"
1886,0.0004053019101486421,"war"
1887,0.00040732468039771726,"war"
1888,0.0004152310130832825,"war"
1889,0.00041669654279020377,"war"
1890,0.00044230977675582014,"war"
1891,0.0004076102943581618,"war"
1892,0.0003919951295632012,"war"
1893,0.00039322165210382506,"war"
1894,0.0004092451188784152,"war"
1895,0.00041051569846512804,"war"
1896,0.00039357219566824703,"war"
1897,0.00039873926678885414,"war"
1898,0.000446000143857681,"war"
1899,0.0004842197929510284,"war"
1900,0.0004665876492045363,"war"
1901,0.00043352414000809606,"war"
1902,0.0004322851925679722,"war"
1903,0.00040780317824673404,"war"
1904,0.00044580951724012803,"war"
1905,0.0004533711056685873,"war"
1906,0.00042255977233195943,"war"
1907,0.00039842864126920255,"war"
1908,0.0003865713205671626,"war"
1909,0.0003923830888277791,"war"
1910,0.000404141610689464,"war"
1911,0.00036111014653876657,"war"
1912,0.00038375974763288893,"war"
1913,0.000391034722573696,"war"
1914,0.00047498462167712673,"war"
1915,0.0007084776051505443,"war"
1916,0.0007054601610217379,"war"
1917,0.0007431791561931003,"war"
